PassengerId,Transported
4558_01,0
6326_01,0
0503_02,0
4757_01,0
9046_01,1
0585_01,1
3857_01,1
0504_05,1
5074_01,0
0938_01,0
5875_01,0
5447_01,1
1739_01,1
2310_04,1
4663_01,1
5924_01,0
9254_01,0
8271_01,1
3512_01,0
4359_02,1
8536_01,0
0028_01,0
5780_01,1
9168_02,1
7507_02,1
9127_01,0
6787_02,0
0454_02,1
3390_01,1
6915_01,1
6055_01,0
7314_01,1
7588_02,1
1046_01,0
3126_01,1
0164_01,1
6798_01,1
4680_04,0
6096_01,1
0846_01,0
7007_01,1
1455_03,1
4508_03,0
6546_01,0
2182_01,0
2765_01,0
1529_01,1
6444_01,0
6676_01,1
8719_02,0
5709_01,1
8939_01,1
3175_01,1
8161_01,0
3289_01,1
3630_01,0
4593_01,1
2467_01,0
2887_01,0
6254_01,1
6950_01,1
3853_01,1
8222_01,0
0316_01,1
3775_02,1
6201_01,0
5647_03,0
5983_01,0
0984_03,0
2168_02,0
7990_01,1
3071_02,0
2755_01,1
7034_01,0
5060_02,1
5981_01,0
6544_01,1
7061_01,1
0585_03,0
0151_01,0
7639_01,1
1796_01,1
9157_01,0
4084_01,1
0149_01,1
5557_01,1
6525_01,0
3703_01,1
4880_01,0
4061_03,1
2872_01,1
5057_01,1
2822_03,1
1612_01,1
6561_01,0
3428_02,1
3071_01,1
0926_01,1
5627_01,0
1897_01,1
0797_01,0
8753_03,0
4813_01,1
8688_01,0
4939_01,1
5748_01,0
7958_01,1
6947_01,1
2797_01,0
2254_01,0
6674_02,1
7447_01,0
7290_02,1
8470_01,0
6530_01,0
5343_01,0
7494_01,0
8117_02,0
0970_01,1
8129_01,1
0433_02,0
3702_01,0
2133_02,1
4172_07,1
7837_01,1
3964_01,1
8813_01,0
8143_01,1
8202_01,1
0889_01,0
0982_02,0
7783_01,1
0456_01,0
2968_01,1
8770_07,1
6593_01,1
8728_05,1
0217_01,0
0320_02,0
3454_01,0
8147_03,0
4502_01,0
8398_02,1
7069_01,0
6951_01,1
4176_02,1
2929_01,1
2056_01,0
1211_01,0
1024_04,0
5822_01,1
4555_01,0
6675_01,0
6601_01,0
3974_02,1
4143_01,0
3032_02,0
4395_01,0
6090_01,1
3054_01,0
2368_01,0
2558_01,1
7498_02,1
4711_01,0
0181_01,0
8297_01,0
8091_01,0
6029_01,0
2739_01,1
4031_02,1
4586_01,0
4645_02,1
1901_02,1
7157_01,1
7082_01,0
3654_02,0
6990_01,0
3871_01,1
0008_01,1
8115_02,1
4017_04,0
4069_01,1
1210_01,1
5965_01,1
2532_02,1
1391_03,0
3866_01,0
0244_01,1
8038_01,1
3750_02,0
8755_01,1
2773_01,0
3786_01,0
1811_02,0
0661_01,0
9081_05,1
4490_01,0
4868_01,1
0786_01,1
7800_01,1
9218_01,1
3470_01,0
0212_02,0
8024_01,0
6191_04,1
1500_06,1
1544_01,0
0565_01,0
8884_01,1
4739_01,1
4759_01,0
8021_01,0
2582_01,0
1543_01,1
2299_01,0
8853_01,0
0321_01,0
7166_01,0
7488_01,0
8948_02,1
5384_02,1
1425_02,1
2792_01,1
2123_01,0
4498_05,1
3868_02,1
5069_01,0
3419_01,0
3470_02,1
3596_01,1
5728_01,0
5967_03,0
5780_02,1
6765_01,1
8147_04,1
4154_01,1
1615_03,1
4030_03,0
3413_01,0
8815_01,0
6779_04,1
0050_01,0
5122_01,1
8680_01,0
5946_01,0
6328_01,0
0358_02,1
5174_02,0
7865_02,1
2232_02,0
6748_02,1
6903_01,0
6141_02,0
2720_01,0
5128_02,1
4782_04,1
8566_01,0
3111_01,0
8728_06,0
2820_01,1
5305_01,1
8393_01,0
6814_01,1
3991_01,0
5446_01,1
8242_01,1
6917_01,0
0903_01,0
5689_01,0
2717_01,0
6971_05,1
8121_01,1
9148_01,0
0696_01,1
8203_02,1
1855_02,0
1452_03,0
7010_01,0
5177_01,1
2700_01,0
8789_01,0
5890_01,1
5837_01,0
1959_03,1
1552_01,0
2306_05,1
3262_01,0
6970_02,0
5469_01,1
1294_01,1
3772_01,1
4726_03,1
5568_02,1
1323_01,1
4794_01,0
4172_02,0
0381_01,1
4465_02,0
2625_01,1
4001_03,1
5197_01,1
1861_01,1
0144_01,1
4006_01,1
3188_01,0
1311_01,1
6485_02,1
7079_01,0
8753_02,0
2306_01,1
9075_01,0
1978_01,1
9128_02,0
6468_04,0
5427_01,1
2092_05,0
0133_02,0
6787_04,1
3394_01,1
3620_01,1
2256_01,1
7406_01,0
4256_07,0
1035_01,1
5435_01,0
4044_01,0
4108_01,1
4031_01,1
8764_01,1
8060_01,0
8657_01,1
2825_01,1
2229_01,0
6266_01,1
7894_01,1
3992_01,0
6745_01,0
6684_03,0
6181_01,0
3970_01,1
7968_01,1
5984_02,0
6991_01,0
2839_01,1
0512_01,1
4940_01,1
2261_01,1
6443_07,1
6865_02,1
8255_01,0
3715_04,0
1455_02,1
8072_01,1
2747_01,1
2022_01,0
3323_01,1
7256_01,0
0174_01,0
7872_02,0
8956_06,0
0304_01,0
8808_01,1
7156_03,1
2264_01,1
5188_03,0
3691_01,0
4763_01,1
0938_02,1
6608_01,0
6001_01,0
2910_01,0
2960_01,0
2770_01,0
8639_02,0
4309_01,0
4204_01,1
7665_01,1
5994_01,0
5882_01,0
1511_01,1
0789_02,0
2925_01,1
2088_02,1
1077_01,0
0506_01,1
5367_01,1
5282_03,1
7649_01,1
3176_01,1
3660_01,0
4980_03,0
0081_01,0
5909_02,1
0471_01,0
1871_01,1
7780_01,1
1192_01,0
8173_01,1
7518_02,0
9007_01,0
8092_02,1
0870_01,0
3732_02,0
7918_01,1
2042_01,0
1540_03,0
3973_01,1
3065_01,1
5785_01,0
5598_01,1
8508_02,1
3711_01,1
0863_03,0
8687_01,1
1888_01,1
0221_04,1
4258_02,0
5303_01,0
4219_02,0
5927_03,1
3735_02,0
2736_01,0
6675_02,0
7449_01,0
0257_02,1
0602_02,0
5531_02,1
0729_01,1
0163_02,1
3774_01,0
1979_01,0
4446_01,0
6832_01,1
3915_01,1
2734_01,1
5363_01,1
6324_02,1
1053_01,0
3128_01,0
2385_01,0
0969_01,1
8378_01,0
0278_02,0
1964_01,0
0757_01,0
4335_01,0
2861_01,1
7724_01,0
7770_01,0
6921_02,1
2274_02,1
5459_01,0
7848_01,0
0772_04,1
6547_01,0
7624_01,1
0794_01,1
6324_03,1
2790_04,0
0765_02,0
8317_01,0
6784_02,1
1971_01,0
6422_03,0
2402_01,0
0770_04,0
6033_02,1
9219_01,0
0726_01,0
4796_01,1
1769_01,1
6334_03,1
3001_02,1
7062_01,0
1186_03,0
6378_01,1
3779_01,1
4324_01,1
8586_01,0
2993_01,0
6032_02,0
4678_01,0
1283_01,0
8124_01,0
3662_01,1
3418_01,1
6827_01,0
4173_01,0
0119_01,0
5084_01,0
6030_03,1
5281_01,0
9185_01,1
3458_01,1
3401_01,1
9196_03,0
3032_01,0
3110_01,1
2661_01,0
3796_01,1
1802_01,0
2209_01,0
8339_02,0
4130_01,1
3025_02,0
5244_01,0
8130_02,0
5348_01,1
1112_01,1
1624_03,1
6662_01,0
0009_01,1
1659_01,0
5355_02,1
1661_03,1
4246_01,0
2120_01,1
3745_01,0
6987_01,1
2200_01,0
1992_01,1
4909_01,0
6443_03,1
1661_02,0
4251_01,0
4786_01,1
3911_03,1
5912_01,1
5652_01,0
6858_01,1
8365_01,1
5090_05,0
1779_01,1
7093_01,0
2949_01,0
6643_01,0
5527_02,0
6671_02,1
1153_01,1
7650_04,1
2121_01,0
0851_01,0
5723_01,0
6756_03,1
0709_02,1
1397_01,0
7330_01,0
2544_01,1
4850_02,1
2578_01,0
7521_01,0
6432_01,0
8667_01,0
8064_03,0
6779_03,1
3999_01,0
4690_01,1
8988_07,0
1576_01,0
8831_01,1
1614_01,0
5126_01,1
4932_01,1
8638_02,1
6308_01,0
6399_01,0
0006_01,1
3282_01,1
0822_01,1
8268_01,1
3572_01,0
8868_01,1
2596_02,1
0007_01,1
8383_02,0
8658_01,1
1808_01,0
5271_01,0
0553_02,1
2831_01,1
2909_01,0
1056_01,1
1203_01,0
8012_01,1
4340_01,1
4448_01,1
2822_04,1
4664_01,0
4676_01,1
5017_01,1
8432_01,0
4093_01,0
2347_02,1
4428_01,1
8015_02,0
1882_02,1
0254_01,1
7206_01,0
5814_02,1
8637_03,0
1806_01,0
8789_02,1
1065_01,1
3741_01,1
6366_01,1
4178_01,0
0408_01,0
5705_01,1
0879_01,0
8386_01,0
0441_01,0
8926_01,1
4005_01,1
6325_02,0
4197_03,0
3019_01,0
8727_01,0
2718_01,1
7902_03,0
1897_02,1
1228_01,1
8709_01,0
4784_01,1
7459_01,0
1274_01,0
2729_01,1
5828_01,0
0234_01,0
6799_01,1
6207_03,0
7260_01,0
3497_01,0
3757_01,1
0401_02,0
8371_01,1
6821_01,0
6939_01,0
8752_01,0
1356_01,0
4096_01,1
5902_01,0
0140_01,1
0336_01,0
4497_01,0
4169_01,1
1903_01,0
6563_02,0
5894_01,1
8999_01,0
0252_01,0
5136_01,0
2520_01,0
4772_01,0
1174_01,1
1308_01,1
4888_01,1
5115_01,1
8056_01,0
0925_03,1
1434_01,0
9068_01,0
4450_01,1
4952_01,1
8043_01,1
1443_01,1
8573_01,1
7039_01,0
0770_03,0
0583_02,1
6173_01,1
4506_01,0
1887_01,0
3703_02,0
1282_01,0
5089_01,0
3707_01,0
4475_01,0
4208_01,0
7367_02,0
0984_01,0
2574_01,0
5274_01,0
2009_01,0
5552_03,0
6415_01,1
4177_02,1
9280_02,1
1239_01,1
3237_03,0
3179_01,0
1093_01,1
6020_02,0
8696_01,1
2317_01,0
3715_01,0
8419_01,1
0475_01,0
4210_02,1
0091_02,0
6330_01,1
6994_01,1
0770_02,0
